REPORT_DATE_AS_YYYY-MM-DD,REF_WEEK_END,CFTC_NET_LONG,OPEN_INTEREST_ALL,PROD_MERC_POSITIONS_LONG_ALL,PROD_MERC_POSITIONS_SHORT_ALL,SWAP_POSITIONS_LONG_ALL,SWAP__POSITIONS_SHORT_ALL,SWAP__POSITIONS_SPREAD_ALL,M_MONEY_POSITIONS_LONG_ALL,M_MONEY_POSITIONS_SHORT_ALL,M_MONEY_POSITIONS_SPREAD_ALL,OTHER_REPT_POSITIONS_LONG_ALL,OTHER_REPT_POSITIONS_SHORT_ALL,OTHER_REPT_POSITIONS_SPREAD_ALL,TOT_REPT_POSITIONS_LONG_ALL,TOT_REPT_POSITIONS_SHORT_ALL,NONREPT_POSITIONS_LONG_ALL,NONREPT_POSITIONS_SHORT_ALL,OPEN_INTEREST_OLD,PROD_MERC_POSITIONS_LONG_OLD,PROD_MERC_POSITIONS_SHORT_OLD,SWAP_POSITIONS_LONG_OLD,SWAP__POSITIONS_SHORT_OLD,SWAP__POSITIONS_SPREAD_OLD,M_MONEY_POSITIONS_LONG_OLD,M_MONEY_POSITIONS_SHORT_OLD,M_MONEY_POSITIONS_SPREAD_OLD,OTHER_REPT_POSITIONS_LONG_OLD,OTHER_REPT_POSITIONS_SHORT_OLD,OTHER_REPT_POSITIONS_SPREAD_OLD,TOT_REPT_POSITIONS_LONG_OLD,TOT_REPT_POSITIONS_SHORT_OLD,NONREPT_POSITIONS_LONG_OLD,NONREPT_POSITIONS_SHORT_OLD,OPEN_INTEREST_OTHER,PROD_MERC_POSITIONS_LONG_OTHER,PROD_MERC_POSITIONS_SHORT_OTHER,SWAP_POSITIONS_LONG_OTHER,SWAP__POSITIONS_SHORT_OTHER,SWAP__POSITIONS_SPREAD_OTHER,M_MONEY_POSITIONS_LONG_OTHER,M_MONEY_POSITIONS_SHORT_OTHER,M_MONEY_POSITIONS_SPREAD_OTHER,OTHER_REPT_POSITIONS_LONG_OTHER,OTHER_REPT_POSITIONS_SHORT_OTHER,OTHER_REPT_POSITIONS_SPREAD_OTHER,TOT_REPT_POSITIONS_LONG_OTHER,TOT_REPT_POSITIONS_SHORT_OTHER,NONREPT_POSITIONS_LONG_OTHER,NONREPT_POSITIONS_SHORT_OTHER,CHANGE_IN_OPEN_INTEREST_ALL,CHANGE_IN_PROD_MERC_LONG_ALL,CHANGE_IN_PROD_MERC_SHORT_ALL,CHANGE_IN_SWAP_LONG_ALL,CHANGE_IN_SWAP_SHORT_ALL,CHANGE_IN_SWAP_SPREAD_ALL,CHANGE_IN_M_MONEY_LONG_ALL,CHANGE_IN_M_MONEY_SHORT_ALL,CHANGE_IN_M_MONEY_SPREAD_ALL,CHANGE_IN_OTHER_REPT_LONG_ALL,CHANGE_IN_OTHER_REPT_SHORT_ALL,CHANGE_IN_OTHER_REPT_SPREAD_ALL,CHANGE_IN_TOT_REPT_LONG_ALL,CHANGE_IN_TOT_REPT_SHORT_ALL,CHANGE_IN_NONREPT_LONG_ALL,CHANGE_IN_NONREPT_SHORT_ALL,PCT_OF_OPEN_INTEREST_ALL,PCT_OF_OI_PROD_MERC_LONG_ALL,PCT_OF_OI_PROD_MERC_SHORT_ALL,PCT_OF_OI_SWAP_LONG_ALL,PCT_OF_OI_SWAP_SHORT_ALL,PCT_OF_OI_SWAP_SPREAD_ALL,PCT_OF_OI_M_MONEY_LONG_ALL,PCT_OF_OI_M_MONEY_SHORT_ALL,PCT_OF_OI_M_MONEY_SPREAD_ALL,PCT_OF_OI_OTHER_REPT_LONG_ALL,PCT_OF_OI_OTHER_REPT_SHORT_ALL,PCT_OF_OI_OTHER_REPT_SPREAD_ALL,PCT_OF_OI_TOT_REPT_LONG_ALL,PCT_OF_OI_TOT_REPT_SHORT_ALL,PCT_OF_OI_NONREPT_LONG_ALL,PCT_OF_OI_NONREPT_SHORT_ALL,PCT_OF_OPEN_INTEREST_OLD,PCT_OF_OI_PROD_MERC_LONG_OLD,PCT_OF_OI_PROD_MERC_SHORT_OLD,PCT_OF_OI_SWAP_LONG_OLD,PCT_OF_OI_SWAP_SHORT_OLD,PCT_OF_OI_SWAP_SPREAD_OLD,PCT_OF_OI_M_MONEY_LONG_OLD,PCT_OF_OI_M_MONEY_SHORT_OLD,PCT_OF_OI_M_MONEY_SPREAD_OLD,PCT_OF_OI_OTHER_REPT_LONG_OLD,PCT_OF_OI_OTHER_REPT_SHORT_OLD,PCT_OF_OI_OTHER_REPT_SPREAD_OLD,PCT_OF_OI_TOT_REPT_LONG_OLD,PCT_OF_OI_TOT_REPT_SHORT_OLD,PCT_OF_OI_NONREPT_LONG_OLD,PCT_OF_OI_NONREPT_SHORT_OLD,PCT_OF_OPEN_INTEREST_OTHER,PCT_OF_OI_PROD_MERC_LONG_OTHER,PCT_OF_OI_PROD_MERC_SHORT_OTHER,PCT_OF_OI_SWAP_LONG_OTHER,PCT_OF_OI_SWAP_SHORT_OTHER,PCT_OF_OI_SWAP_SPREAD_OTHER,PCT_OF_OI_M_MONEY_LONG_OTHER,PCT_OF_OI_M_MONEY_SHORT_OTHER,PCT_OF_OI_M_MONEY_SPREAD_OTHER,PCT_OF_OI_OTHER_REPT_LONG_OTHER,PCT_OF_OI_OTHER_REPT_SHORT_OTHER,PCT_OF_OI_OTHER_REPT_SPREAD_OTHER,PCT_OF_OI_TOT_REPT_LONG_OTHER,PCT_OF_OI_TOT_REPT_SHORT_OTHER,PCT_OF_OI_NONREPT_LONG_OTHER,PCT_OF_OI_NONREPT_SHORT_OTHER,TRADERS_PROD_MERC_LONG_ALL,TRADERS_PROD_MERC_SHORT_ALL,TRADERS_SWAP_LONG_ALL,TRADERS_SWAP_SHORT_ALL,TRADERS_SWAP_SPREAD_ALL,TRADERS_M_MONEY_LONG_ALL,TRADERS_M_MONEY_SHORT_ALL,TRADERS_M_MONEY_SPREAD_ALL,TRADERS_OTHER_REPT_LONG_ALL,TRADERS_OTHER_REPT_SHORT_ALL,TRADERS_OTHER_REPT_SPREAD_ALL,TRADERS_TOT_REPT_LONG_ALL,TRADERS_TOT_REPT_SHORT_ALL,TRADERS_PROD_MERC_LONG_OLD,TRADERS_PROD_MERC_SHORT_OLD,TRADERS_SWAP_LONG_OLD,TRADERS_SWAP_SHORT_OLD,TRADERS_SWAP_SPREAD_OLD,TRADERS_M_MONEY_LONG_OLD,TRADERS_M_MONEY_SHORT_OLD,TRADERS_M_MONEY_SPREAD_OLD,TRADERS_OTHER_REPT_LONG_OLD,TRADERS_OTHER_REPT_SHORT_OLD,TRADERS_OTHER_REPT_SPREAD_OLD,TRADERS_TOT_REPT_LONG_OLD,TRADERS_TOT_REPT_SHORT_OLD,TRADERS_PROD_MERC_LONG_OTHER,TRADERS_PROD_MERC_SHORT_OTHER,TRADERS_SWAP_LONG_OTHER,TRADERS_SWAP_SHORT_OTHER,TRADERS_SWAP_SPREAD_OTHER,TRADERS_M_MONEY_LONG_OTHER,TRADERS_M_MONEY_SHORT_OTHER,TRADERS_M_MONEY_SPREAD_OTHER,TRADERS_OTHER_REPT_LONG_OTHER,TRADERS_OTHER_REPT_SHORT_OTHER,TRADERS_OTHER_REPT_SPREAD_OTHER,TRADERS_TOT_REPT_LONG_OTHER,TRADERS_TOT_REPT_SHORT_OTHER,CONC_GROSS_LE_4_TDR_LONG_ALL,CONC_GROSS_LE_4_TDR_SHORT_ALL,CONC_GROSS_LE_8_TDR_LONG_ALL,CONC_GROSS_LE_8_TDR_SHORT_ALL,CONC_NET_LE_4_TDR_LONG_ALL,CONC_NET_LE_4_TDR_SHORT_ALL,CONC_NET_LE_8_TDR_LONG_ALL,CONC_NET_LE_8_TDR_SHORT_ALL,CONC_GROSS_LE_4_TDR_LONG_OLD,CONC_GROSS_LE_4_TDR_SHORT_OLD,CONC_GROSS_LE_8_TDR_LONG_OLD,CONC_GROSS_LE_8_TDR_SHORT_OLD,CONC_NET_LE_4_TDR_LONG_OLD,CONC_NET_LE_4_TDR_SHORT_OLD,CONC_NET_LE_8_TDR_LONG_OLD,CONC_NET_LE_8_TDR_SHORT_OLD,CONC_GROSS_LE_4_TDR_LONG_OTHER,CONC_GROSS_LE_4_TDR_SHORT_OTHER,CONC_GROSS_LE_8_TDR_LONG_OTHER,CONC_GROSS_LE_8_TDR_SHORT_OTHER,CONC_NET_LE_4_TDR_LONG_OTHER,CONC_NET_LE_4_TDR_SHORT_OTHER,CONC_NET_LE_8_TDR_LONG_OTHER,CONC_NET_LE_8_TDR_SHORT_OTHER
2023-01-03,2023-01-06,0,363278,167388,178264,2566,32797,20133,24455,32301,12053,70061,18766,55851,352507,350165,10771,13113,363278,167388,178264,2566,32797,20133,24455,32301,12053,70061,18766,55851,352507,350165,10771,13113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,   -3544,    6702,   -7093,    -341,     -27,    -788,    -852,    -108,     847,   -9541,    3284,      66,   -3907,   -3819,     363,     275,100.0,46.1,49.1,0.7,9.0,5.5,6.7,8.9,3.3,19.3,5.2,15.4,97.0,96.4,3.0,3.6,100.0,46.1,49.1,0.7,9.0,5.5,6.7,8.9,3.3,19.3,5.2,15.4,97.0,96.4,3.0,3.6,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,     33,     35,      5,     10,     15,      6,     10,      8,     12,     17,     23,88,87,     33,     35,      5,     10,     15,      6,     10,      8,     12,     17,     23,     88,     87,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,45.7,27.1,60.6,43.1,39.7,22.5,48.2,34.1,45.7,27.1,60.6,43.1,39.7,22.5,48.2,34.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-03,2023-01-06,0,131126,32590,15755,4834,63082,3421,0,0,0,47055,10948,6990,94890,100196,36236,30930,131126,32590,15755,4834,63082,3421,0,0,0,47055,10948,6990,94890,100196,36236,30930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  -16477,  -11186,    -731,   -1709,   -6889,    -548,       0,   -1016,       0,   -6826,   -5829,   -1476,  -21745,  -16489,    5268,      12,100.0,24.9,12.0,3.7,48.1,2.6,0.0,0.0,0.0,35.9,8.3,5.3,72.4,76.4,27.6,23.6,100.0,24.9,12.0,3.7,48.1,2.6,0.0,0.0,0.0,35.9,8.3,5.3,72.4,76.4,27.6,23.6,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,      9,     11,.,      7,      5,      0,      0,      0,      6,.,      5,20,27,      9,     11,.,      7,      5,      0,      0,      0,      6,.,      5,     20,     27,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,54.5,37.0,63.6,58.9,48.0,37.0,55.8,56.1,54.5,37.0,63.6,58.9,48.0,37.0,55.8,56.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-10,2023-01-13,0,375908,171557,184758,2919,33732,19500,23200,35061,16699,74392,16628,56660,364927,363038,10981,12870,375908,171557,184758,2919,33732,19500,23200,35061,16699,74392,16628,56660,364927,363038,10981,12870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,   12630,    4169,    6494,     353,     935,    -633,   -1255,    2760,    4646,    4331,   -2138,     809,   12420,   12873,     210,    -243,100.0,45.6,49.1,0.8,9.0,5.2,6.2,9.3,4.4,19.8,4.4,15.1,97.1,96.6,2.9,3.4,100.0,45.6,49.1,0.8,9.0,5.2,6.2,9.3,4.4,19.8,4.4,15.1,97.1,96.6,2.9,3.4,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,     35,     37,      4,     11,     15,      7,      9,     11,     13,     15,     26,92,92,     35,     37,      4,     11,     15,      7,      9,     11,     13,     15,     26,     92,     92,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,45.2,27.6,59.1,43.7,38.5,22.8,46.8,34.4,45.2,27.6,59.1,43.7,38.5,22.8,46.8,34.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-10,2023-01-13,0,139987,38481,18856,4558,63125,4387,0,0,0,45094,10831,10847,103367,108046,36620,31941,139987,38481,18856,4558,63125,4387,0,0,0,45094,10831,10847,103367,108046,36620,31941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,    8861,    5891,    3101,    -276,      43,     966,       0,       0,       0,   -1961,    -117,    3857,    8477,    7850,     384,    1011,100.0,27.5,13.5,3.3,45.1,3.1,0.0,0.0,0.0,32.2,7.7,7.7,73.8,77.2,26.2,22.8,100.0,27.5,13.5,3.3,45.1,3.1,0.0,0.0,0.0,32.2,7.7,7.7,73.8,77.2,26.2,22.8,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,     11,     11,.,      7,      5,      0,      0,      0,      6,.,      6,23,27,     11,     11,.,      7,      5,      0,      0,      0,      6,.,      6,     23,     27,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,51.1,34.6,61.3,55.3,44.6,34.5,51.9,52.5,51.1,34.6,61.3,55.3,44.6,34.5,51.9,52.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-17,2023-01-20,0,141333,38860,18892,4558,62456,4783,0,0,0,45098,11260,11387,104686,108778,36647,32555,141333,38860,18892,4558,62456,4783,0,0,0,45098,11260,11387,104686,108778,36647,32555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,    1346,     379,      36,       0,    -669,     396,       0,       0,       0,       4,     429,     540,    1319,     732,      27,     614,100.0,27.5,13.4,3.2,44.2,3.4,0.0,0.0,0.0,31.9,8.0,8.1,74.1,77.0,25.9,23.0,100.0,27.5,13.4,3.2,44.2,3.4,0.0,0.0,0.0,31.9,8.0,8.1,74.1,77.0,25.9,23.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,     12,     12,.,      7,      5,      0,      0,      0,      8,.,      7,26,29,     12,     12,.,      7,      5,      0,      0,      0,      8,.,      7,     26,     29,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,50.1,34.7,60.7,55.2,43.7,34.6,52.0,51.8,50.1,34.7,60.7,55.2,43.7,34.6,52.0,51.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-17,2023-01-20,0,386049,182718,192596,2625,34356,20302,17256,34038,18792,75972,18069,54242,371907,372395,14142,13654,386049,182718,192596,2625,34356,20302,17256,34038,18792,75972,18069,54242,371907,372395,14142,13654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,   10141,   11161,    7838,    -294,     624,     802,   -5944,   -1023,    2093,    1580,    1441,   -2418,    6980,    9357,    3161,     784,100.0,47.3,49.9,0.7,8.9,5.3,4.5,8.8,4.9,19.7,4.7,14.1,96.3,96.5,3.7,3.5,100.0,47.3,49.9,0.7,8.9,5.3,4.5,8.8,4.9,19.7,4.7,14.1,96.3,96.5,3.7,3.5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,     37,     34,      6,      9,     15,      7,     10,     13,     10,     18,     26,97,90,     37,     34,      6,      9,     15,      7,     10,     13,     10,     18,     26,     97,     90,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,41.9,27.5,56.0,43.2,35.6,21.8,45.3,33.6,41.9,27.5,56.0,43.2,35.6,21.8,45.3,33.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-24,2023-01-27,0,147592,36580,22431,4618,62299,5071,0,0,0,51554,11759,12221,110044,113781,37548,33811,147592,36580,22431,4618,62299,5071,0,0,0,51554,11759,12221,110044,113781,37548,33811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,    6259,   -2280,    3539,      60,    -157,     288,       0,       0,       0,    6456,     499,     834,    5358,    5003,     901,    1256,100.0,24.8,15.2,3.1,42.2,3.4,0.0,0.0,0.0,34.9,8.0,8.3,74.6,77.1,25.4,22.9,100.0,24.8,15.2,3.1,42.2,3.4,0.0,0.0,0.0,34.9,8.0,8.3,74.6,77.1,25.4,22.9,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,     14,     15,.,      7,      5,      0,      0,      0,      8,.,      8,29,32,     14,     15,.,      7,      5,      0,      0,      0,      8,.,      8,     29,     32,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,50.9,33.6,60.5,53.5,44.3,33.6,51.2,49.9,50.9,33.6,60.5,53.5,44.3,33.6,51.2,49.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-24,2023-01-27,0,387454,190550,193590,3733,33763,20167,10820,30067,14884,72641,21636,59562,372357,373669,15097,13785,387454,190550,193590,3733,33763,20167,10820,30067,14884,72641,21636,59562,372357,373669,15097,13785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,    1405,    7832,     994,    1108,    -593,    -135,   -6436,   -3971,   -3908,   -3331,    3567,    5320,     450,    1274,     955,     131,100.0,49.2,50.0,1.0,8.7,5.2,2.8,7.8,3.8,18.7,5.6,15.4,96.1,96.4,3.9,3.6,100.0,49.2,50.0,1.0,8.7,5.2,2.8,7.8,3.8,18.7,5.6,15.4,96.1,96.4,3.9,3.6,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,     36,     35,      6,      9,     15,      9,      8,     12,     10,     22,     26,96,94,     36,     35,      6,      9,     15,      9,      8,     12,     10,     22,     26,     96,     94,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,41.0,26.4,54.1,41.8,33.7,19.8,42.1,31.0,41.0,26.4,54.1,41.8,33.7,19.8,42.1,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-31,2023-02-03,0,407466,202703,202327,2848,34703,21147,10667,29431,17776,75986,23956,64233,395360,393573,12106,13893,407466,202703,202327,2848,34703,21147,10667,29431,17776,75986,23956,64233,395360,393573,12106,13893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,   20012,   12153,    8737,    -885,     940,     980,    -153,    -636,    2892,    3345,    2320,    4671,   23003,   19904,   -2991,     108,100.0,49.7,49.7,0.7,8.5,5.2,2.6,7.2,4.4,18.6,5.9,15.8,97.0,96.6,3.0,3.4,100.0,49.7,49.7,0.7,8.5,5.2,2.6,7.2,4.4,18.6,5.9,15.8,97.0,96.6,3.0,3.4,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,     38,     40,      6,      9,     15,      9,      8,     13,     12,     20,     25,97,99,     38,     40,      6,      9,     15,      9,      8,     13,     12,     20,     25,     97,     99,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,40.4,26.4,53.8,41.0,32.4,19.3,41.6,30.0,40.4,26.4,53.8,41.0,32.4,19.3,41.6,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-31,2023-02-03,0,154980,42341,25226,4618,70479,5241,0,0,0,55417,11927,12541,120158,125414,34822,29566,154980,42341,25226,4618,70479,5241,0,0,0,55417,11927,12541,120158,125414,34822,29566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,    7388,    5761,    2795,       0,    8180,     170,       0,       0,       0,    3863,     168,     320,   10114,   11633,   -2726,   -4245,100.0,27.3,16.3,3.0,45.5,3.4,0.0,0.0,0.0,35.8,7.7,8.1,77.5,80.9,22.5,19.1,100.0,27.3,16.3,3.0,45.5,3.4,0.0,0.0,0.0,35.8,7.7,8.1,77.5,80.9,22.5,19.1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,     17,     16,.,      8,      5,      0,      0,      0,      8,.,      9,32,35,     17,     16,.,      8,      5,      0,      0,      0,      8,.,      9,     32,     35,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,52.1,33.5,61.1,52.8,45.9,33.5,52.5,50.2,52.1,33.5,61.1,52.8,45.9,33.5,52.5,50.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
