date,cash,positions_value,total_value,net_value,return,002460return,002460dividend,002466return,002466dividend
20230103,1000000,0,1000000,1,0,0,0,0,0
20230104,1000000,0,1000000,1,0,0,0,0,0
20230105,1000000,0,1000000,1,0,0,0,0,0
20230106,1000000,0,1000000,1,0,0,0,0,0
20230109,1000000,0,1000000,1,0,0,0,0,0
20230110,1000000,0,1000000,1,0,0,0,0,0
20230111,1000000,0,1000000,1,0,0,0,0,0
20230112,1000000,0,1000000,1,0,0,0,0,0
20230113,1000000,0,1000000,1,0,0,0,0,0
20230116,1000000,0,1000000,1,0,0,0,0,0
20230117,1000000,0,1000000,1,0,0,0,0,0
20230118,1000000,0,1000000,1,0,0,0,0,0
20230119,1000000,0,1000000,1,0,0,0,0,0
20230120,1000000,0,1000000,1,0,0,0,0,0
20230130,1000000,0,1000000,1,0,0,0,0,0
20230131,1000000,0,1000000,1,0,0,0,0,0
20230201,1000000,0,1000000,1,0,0,0,0,0
20230202,1000000,0,1000000,1,0,0,0,0,0
20230203,1000000,0,1000000,1,0,0,0,0,0
20230206,1000000,0,1000000,1,0,0,0,0,0
20230207,1000000,0,1000000,1,0,0,0,0,0
20230208,1000000,0,1000000,1,0,0,0,0,0
20230209,1000000,0,1000000,1,0,0,0,0,0
20230210,1000000,0,1000000,1,0,0,0,0,0
20230213,1000000,0,1000000,1,0,0,0,0,0
20230214,1000000,0,1000000,1,0,0,0,0,0
20230215,1000000,0,1000000,1,0,0,0,0,0
20230216,1000000,0,1000000,1,0,0,0,0,0
20230217,1000000,0,1000000,1,0,0,0,0,0
20230220,1000000,0,1000000,1,0,0,0,0,0
20230221,1000000,0,1000000,1,0,0,0,0,0
20230222,1000000,0,1000000,1,0,0,0,0,0
20230223,1000000,0,1000000,1,0,0,0,0,0
20230224,1000000,0,1000000,1,0,0,0,0,0
20230227,1000000,0,1000000,1,0,0,0,0,0
